Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Threshold,Baseline Start,Baseline End,Curve Quality,Result Quality Issues
D5,false,TL_3,atpE,Unknown,VIC-NFQ-MGB,28.933899551875697,0.8664206760672771,2.5802764678587664,Amp,false,17082.12544642856,13,23,,
D6,false,TL_3,atpE,Unknown,VIC-NFQ-MGB,28.356364615485155,0.8832038475217171,2.643693832816937,Amp,false,17082.12544642856,13,23,,
E1,false,BB_2,atpE,Unknown,VIC-NFQ-MGB,25.55592914686413,0.885257858215933,2.6890842705423057,Amp,false,17082.12544642856,9,20,,
E2,false,BB_2,atpE,Unknown,VIC-NFQ-MGB,25.132106682732662,0.8696722568301433,2.689738818713724,Amp,false,17082.12544642856,10,20,,
E3,false,TL,atpE,Unknown,VIC-NFQ-MGB,27.26118763859037,0.9264901665614217,2.6562506250543736,Amp,false,17082.12544642856,11,22,,
E4,false,TL,atpE,Unknown,VIC-NFQ-MGB,27.33691032592474,0.9257975137299209,2.6394325980050386,Amp,false,17082.12544642856,10,21,,
E5,false,TL_4,atpE,Unknown,VIC-NFQ-MGB,28.33580619997933,0.8700721580349645,2.618633732284407,Amp,false,17082.12544642856,17,23,,
E6,false,TL_4,atpE,Unknown,VIC-NFQ-MGB,29.337793324383803,0.9150303882708051,2.558034475786349,Amp,false,17082.12544642856,11,23,,
F1,false,BB_2,atpE,Unknown,VIC-NFQ-MGB,26.089807744508285,0.8706990585301688,2.6998629211712215,Amp,false,17082.12544642856,16,21,,
F2,false,BB_2,atpE,Unknown,VIC-NFQ-MGB,25.726193114885675,0.8693383710695323,2.693928621118896,Amp,false,17082.12544642856,15,21,,
F3,false,TL,atpE,Unknown,VIC-NFQ-MGB,27.242425883819493,0.9186960775538763,2.672066967674114,Amp,false,17082.12544642856,17,22,,
F4,false,TL,atpE,Unknown,VIC-NFQ-MGB,27.42054568228526,0.9244407853793003,2.643416202977651,Amp,false,17082.12544642856,12,21,,
F5,false,TL_4,atpE,Unknown,VIC-NFQ-MGB,29.034812863845744,0.8375840311338834,2.5612353477204888,Amp,false,17082.12544642856,19,24,,
F6,false,TL_4,atpE,Unknown,VIC-NFQ-MGB,30.069522459058987,0.8537359070096764,2.546688541158567,Amp,false,17082.12544642856,13,24,,
G1,false,BB_3,atpE,Unknown,VIC-NFQ-MGB,26.800823454544727,0.8446628295840922,2.6897698292879455,Amp,false,17082.12544642856,13,22,,
G2,false,BB_3,atpE,Unknown,VIC-NFQ-MGB,26.37765903344026,0.8444635590278465,2.671984935852364,Amp,false,17082.12544642856,16,21,,
G3,false,TL_1,atpE,Unknown,VIC-NFQ-MGB,31.941468873173392,0.612867866607739,2.357419919969712,Inconclusive,false,17082.12544642856,20,25,,
G4,false,TL_1,atpE,Unknown,VIC-NFQ-MGB,33,0.49297261162535533,2.276068879768652,Inconclusive,false,17082.12544642856,22,27,,
G5,false,TL_5,atpE,Unknown,VIC-NFQ-MGB,28.433793307416302,0.8904984309078957,2.63071095372975,Amp,false,17082.12544642856,9,21,,
G6,false,TL_5,atpE,Unknown,VIC-NFQ-MGB,28.713001102325457,0.8697025565473736,2.6202341977643484,Amp,false,17082.12544642856,15,23,,
H1,false,BB_3,atpE,Unknown,VIC-NFQ-MGB,26.985846060713136,0.8838106880076689,2.701929466983788,Amp,false,17082.12544642856,9,21,,
H2,false,BB_3,atpE,Unknown,VIC-NFQ-MGB,26.089548526334276,0.8872780056991119,2.687253597620152,Amp,false,17082.12544642856,8,19,,
H3,false,TL_1,atpE,Unknown,VIC-NFQ-MGB,23.379756871683128,0.9644197468853256,2.7012959612174803,Amp,false,17082.12544642856,11,15,,
H4,false,TL_1,atpE,Unknown,VIC-NFQ-MGB,26.369298079913335,0.9163125952401676,2.694747336101809,Amp,false,17082.12544642856,11,19,,
H5,false,NTC,atpE,Negative Control (NTC),VIC-NFQ-MGB,Undetermined,0,,No Amp,false,17082.12544642856,3,34,,
H6,false,NTC,atpE,Negative Control (NTC),VIC-NFQ-MGB,Undetermined,0,,No Amp,false,17082.12544642856,3,34,,
